ds,yhat
2023-01-31,719.1120108206896
2023-02-28,614.4515389516746
2023-03-31,691.4107927797526
2023-04-30,701.7209415359123
2023-05-31,693.742919060628
2023-06-30,711.4800832039007
2023-07-31,705.9552313020084
2023-08-31,705.0186750922467
2023-09-30,689.1966310673715
2023-10-31,751.1893638938047
2023-11-30,720.6565919510481
2023-12-31,694.8640959999866
2024-01-31,729.5431610848266
2024-02-29,628.5026001939094
2024-03-31,709.000445540605
2024-04-30,683.3140905207769
2024-05-31,680.2591569479868
2024-06-30,678.5773133226768
2024-07-31,733.1106777224074
2024-08-31,707.057701534207
2024-09-30,686.8577328577016
2024-10-31,704.8538240712575
2024-11-30,687.3227471564982
2024-12-31,730.094086239199
2025-01-31,727.2847329541515
2025-02-28,645.9474624246088
2025-03-31,734.5275838447478
2025-04-30,729.9427899801834
2025-05-31,734.813652265355
2025-06-30,749.0205099710665
2025-07-31,792.9252013801674
2025-08-31,784.3212775977065
2025-09-30,774.5146703495041
2025-10-31,816.7264116991705
2025-11-30,797.8023386964358
2025-12-31,821.0049727483229
2026-01-31,833.9648900868232
2026-02-28,744.4830436335708
2026-03-31,831.0470006713164
2026-04-30,837.6556502937897
